"C.J. Williams",10,LAC,SG,MIA,14.0832,5.4768,9.78
"Jamil Wilson",10,LAC,PF,MIA,21.6864,8.4336,15.06
"Milos Teodosic",10,LAC,PG,MIA,30.9456,12.0344,21.49
"Jawun Evans",10,LAC,PG,MIA,19.3824,7.5376,13.46
"Sindarius Thornwell",10,LAC,SG,MIA,11.592,4.508,8.05
"Sam Dekker",10,LAC,SF,MIA,24.5344,5.3856,14.96
"Wesley Johnson",13,LAC,SF,MIA,26.2845,3.4155,14.85
"Montrezl Harrell",11,LAC,PF,MIA,26.8224,3.6576,15.24
"Josh Richardson",14,MIA,SF,LAC,31.5568,7.1632,19.36
"Dion Waiters",17,MIA,SG,LAC,39.6388,8.7012,24.17
"Bam Adebayo",10,MIA,C,LAC,29.6208,11.5192,20.57
"Jordan Mickey",10,MIA,PF,LAC,6.8414,1.8186,4.33
"Gary Payton",10,LAC,SG,MIA,18.5265,2.1735,10.35
"Wayne Ellington",10,MIA,SF,LAC,23.529,4.991,14.26
"Kelly Olynyk",14,MIA,C,LAC,38.7165,9.9835,24.35
"Goran Dragic",25,MIA,PG,LAC,39.182,15.618,27.4
"James Johnson",20,MIA,PF,LAC,47.2712,16.6088,31.94
"Tyler Johnson",11,MIA,PG,LAC,30.5916,10.7484,20.67
"Lou Williams",31,LAC,SG,MIA,57.7584,22.4616,40.11
"DeAndre Jordan",31,LAC,C,MIA,44.7348,23.0452,33.89
"John Henson",13,MIL,C,HOU,39.916,7.044,23.48
"Thon Maker",10,MIL,C,HOU,21.6117,2.8083,12.21
"DeAndre Liggins",10,MIL,SG,HOU,11.3634,1.4766,6.42
"Eric Bledsoe",30,MIL,PG,HOU,44.4752,14.0448,29.26
"Malcolm Brogdon",16,MIL,PG,HOU,32.9935,10.7065,21.85
"Gorgui Dieng",10,MIN,PF,PHO,22.032,10.608,16.32
"Giannis Antetokounmpo",59,MIL,PF,HOU,67.6353,35.6247,51.63
"Khris Middleton",30,MIL,SF,HOU,51.677,15.003,33.34
"Rashad Vaughn",10,MIL,SG,HOU,26.6739,3.4661,15.07
"James Harden",58,HOU,SG,MIL,66.9816,39.3384,53.16
"Chris Paul",41,HOU,PG,MIL,64.7639,21.0161,42.89
"Zhou Qi",10,HOU,PF,MIL,13.76,0,6.88
"Tarik Black",10,HOU,C,MIL,15.77,0.83,8.3
"Clint Capela",29,HOU,C,MIL,46.208,14.592,30.4
"P.J. Tucker",10,HOU,SF,MIL,27.3196,8.1604,17.74
"Eric Gordon",19,HOU,SG,MIL,37.7234,15.0366,26.38
"Trevor Ariza",18,HOU,SF,MIL,32.3325,15.5675,23.95
"Ryan Anderson",12,HOU,PF,MIL,33.8752,9.0048,21.44
"Harrison Barnes",28,DAL,SF,SAS,40.299,20.301,30.3
"Wesley Matthews",15,DAL,SG,SAS,30.653,11.627,21.14
"Semi Ojeleye",10,BOS,SF,MEM,13.9248,5.4152,9.67
"Shane Larkin",10,BOS,PG,MEM,8.64,3.36,6
"Guerschon Yabusele",10,BOS,SF,MEM,6.5376,2.5424,4.54
"Aron Baynes",11,BOS,C,MEM,21.3408,3.6192,12.48
"Terry Rozier",12,BOS,PG,MEM,27.9015,5.9185,16.91
"Marcus Smart",19,BOS,SG,MEM,36.498,15.642,26.07
"Jayson Tatum",24,BOS,SF,MEM,35.7552,13.9048,24.83
"Al Horford",29,BOS,C,MEM,46.7413,15.9987,31.37
"Kyrie Irving",39,BOS,PG,MEM,55.131,23.069,39.1
"Marc Gasol",32,MEM,C,BOS,51.48,20.52,36
"Ben McLemore",10,MEM,SG,BOS,16.0716,2.0884,9.08
"Jarell Martin",10,MEM,C,BOS,19.4346,2.5254,10.98
"JaMychal Green",12,MEM,PF,BOS,36.1386,11.1014,23.62
"Andrew Harrison",10,MEM,SG,BOS,30.0105,5.0895,17.55
"Mario Chalmers",10,MEM,PG,BOS,31.2912,12.1688,21.73
"James Ennis",10,MEM,SF,BOS,22.168,3.912,13.04
"Tyreke Evans",30,MEM,SG,BOS,53.2344,11.6856,32.46
"Dillon Brooks",10,MEM,SF,BOS,20.2608,7.8792,14.07
"Jaylen Brown",20,BOS,SG,MEM,43.19,6.17,24.68
"Joffrey Lauvergne",10,SAS,C,DAL,8.4429,1.0971,4.77
"Salah Mejri",10,DAL,C,SAS,16.3194,2.1206,9.22
"Devin Harris",10,DAL,SG,SAS,28.2731,5.5869,16.93
"Antonius Cleveland",10,DAL,SG,SAS,6.6816,2.5984,4.64
"Maxi Kleber",10,DAL,PF,SAS,24.6816,9.5984,17.14
"Dwight Powell",10,DAL,C,SAS,25.956,4.944,15.45
"Yogi Ferrell",12,DAL,PG,SAS,34.0632,6.9768,20.52
"Dirk Nowitzki",15,DAL,C,SAS,34.2486,8.8314,21.54
"J.J. Barea",20,DAL,PG,SAS,39.7152,15.4448,27.58
"LaMarcus Aldridge",40,SAS,PF,DAL,54.1107,19.5093,36.81
"Dejounte Murray",10,SAS,PG,DAL,36.2384,4.9416,20.59
"Bryn Forbes",10,SAS,SG,DAL,22.479,2.921,12.7
"Danny Green",12,SAS,SG,DAL,25.5684,7.2116,16.39
"Manu Ginobili",10,SAS,SG,DAL,21.5323,4.8877,13.21
"Brandon Paul",10,SAS,SG,DAL,15.9552,6.2048,11.08
"Davis Bertans",10,SAS,SF,DAL,23.8596,3.1004,13.48
"Pau Gasol",19,SAS,C,DAL,39.974,10.626,25.3
"Rudy Gay",22,SAS,SF,DAL,36.424,9.976,23.2
"Patty Mills",10,SAS,PG,DAL,23.5569,8.0631,15.81
"Marcus Georges-Hunt",10,MIN,SG,PHO,11.3634,1.4766,6.42
"Tyus Jones",10,MIN,PG,PHO,18.3195,2.3805,10.35
"Donovan Mitchell",31,UTA,SG,CLE,46.1808,17.9592,32.07
"Ekpe Udoh",10,UTA,PF,CLE,29.9376,11.6424,20.79
"Alec Burks",17,UTA,SG,CLE,30.276,4.524,17.4
"Joe Ingles",15,UTA,SF,CLE,39.959,11.601,25.78
"Rodney Hood",16,UTA,SF,CLE,37.7832,7.1968,22.49
"Nicolas Batum",17,CHA,SG,POR,35.7925,15.7075,25.75
"Treveon Graham",10,CHA,SG,POR,8.2546,2.8254,5.54
"Ricky Rubio",20,UTA,PG,CLE,36.6314,13.5486,25.09
"Jonas Jerebko",10,UTA,PF,CLE,39.342,8.058,23.7
"Joe Johnson",12,UTA,SF,CLE,19.6452,6.0348,12.84
"Jeff Green",11,CLE,SF,UTA,28.2543,7.2857,17.77
"Kyle Korver",10,CLE,SG,UTA,21.6808,4.7592,13.22
"Channing Frye",10,CLE,C,UTA,13.712,3.428,8.57
"Dwyane Wade",17,CLE,SG,UTA,35.1994,9.6406,22.42
"J.R. Smith",10,CLE,SG,UTA,29.133,5.967,17.55
"LeBron James",60,CLE,SF,UTA,68.607,33.033,50.82
"Jae Crowder",10,CLE,PF,UTA,19.5348,7.2252,13.38
"Kevin Love",35,CLE,C,UTA,55.3739,15.1661,35.27
"Michael Carter-Williams",10,CHA,PG,POR,18.5152,2.5248,10.52
"Johnny O'Bryant",10,CHA,PF,POR,4.8528,1.8872,3.37
"Pat Connaughton",10,POR,SG,CHA,17.4735,3.7065,10.59
"Ed Davis",10,POR,C,CHA,17.2398,2.2402,9.74
"Shabazz Napier",10,POR,PG,CHA,21.2754,2.7646,12.02
"Noah Vonleh",10,POR,PF,CHA,20.0241,3.3959,11.71
"Maurice Harkless",10,POR,SF,CHA,6.408,2.492,4.45
"C.J. McCollum",27,POR,SG,CHA,40.8276,21.0324,30.93
"Evan Turner",10,POR,SG,CHA,26.7685,7.3315,17.05
"Jusuf Nurkic",28,POR,C,CHA,51.5424,6.6976,29.12
"Zach Collins",10,POR,PF,CHA,9.8928,3.8472,6.87
"Al-Farouq Aminu",19,POR,PF,CHA,38.3663,9.2937,23.83
"Michael Kidd-Gilchrist",18,CHA,SF,POR,25.046,10.734,17.89
"Malik Monk",10,CHA,PG,POR,6.8544,2.6656,4.76
"Dwayne Bacon",10,CHA,SF,POR,3.9168,1.5232,2.72
"Marvin Williams",15,CHA,PF,POR,33.495,11.165,22.33
"Frank Kaminsky",10,CHA,PF,POR,25.7455,7.4745,16.61
"Kemba Walker",35,CHA,PG,POR,45.552,24.528,35.04
"Jeremy Lamb",19,CHA,SG,POR,36.7567,7.2633,22.01
"Dwight Howard",34,CHA,C,POR,54.9192,19.8008,37.36
"Cedi Osman",10,CLE,SF,UTA,8.5392,3.3208,5.93
"Jose Calderon",12,CLE,PG,UTA,16.3902,2.1298,9.26
"Marquese Chriss",10,PHO,PF,MIN,29.9397,7.7203,18.83
"Tyson Chandler",15,PHO,C,MIN,34.9531,6.9069,20.93
"Josh Jackson",10,PHO,SF,MIN,24.7392,9.6208,17.18
"Mike James",12,PHO,PG,MIN,31.7232,12.3368,22.03
"TJ Warren",28,PHO,SF,MIN,62.2008,14.1192,38.16
"Nick Collison",10,OKC,C,NYK,1.3351,0.2449,0.79
"Dakari Johnson",10,OKC,C,NYK,13.1904,5.1296,9.16
"Guillermo Hernangomez",10,NYK,C,OKC,7.3152,2.8448,5.08
"Tyler Ulis",11,PHO,PG,MIN,39.2409,5.0991,22.17
"Dragan Bender",10,PHO,PF,MIN,22.2135,2.8865,12.55
"Jeff Teague",26,MIN,PG,PHO,39.6013,20.8587,30.23
"Taj Gibson",24,MIN,PF,PHO,38.8068,14.3532,26.58
"Jamal Crawford",10,MIN,SG,PHO,21.465,7.155,14.31
"Andrew Wiggins",26,MIN,SF,PHO,39.2832,20.2368,29.76
"Karl-Anthony Towns",43,MIN,C,PHO,52.2396,30.6804,41.46
"Troy Daniels",10,PHO,SG,MIN,27.789,3.611,15.7
"Greg Monroe",16,PHO,C,MIN,35.2444,13.0356,24.14
"Jimmy Butler",41,MIN,SG,PHO,55.9338,22.8462,39.39
"Josh Huestis",10,OKC,SF,NYK,8.503,6.957,7.73
"Ron Baker",10,NYK,SG,OKC,16.284,2.116,9.2
"Alex Abrines",10,OKC,SG,NYK,15.085,2.155,8.62
"Jerami Grant",10,OKC,PF,NYK,29.5895,8.5905,19.09
"Raymond Felton",10,OKC,PG,NYK,21.4929,4.2471,12.87
"Andre Roberson",11,OKC,SG,NYK,28.1946,10.1654,19.18
"Russell Westbrook",58,OKC,PG,NYK,64.8333,40.5867,52.71
"Tristan Thompson",11,CLE,C,UTA,8.8305,3.3495,6.09
"Thabo Sefolosha",10,UTA,SG,CLE,13.5975,1.9425,7.77
"Paul George",37,OKC,SF,NYK,49.49,21.21,35.35
"Patrick Patterson",10,OKC,PF,NYK,12.7512,2.4288,7.59
"Carmelo Anthony",27,OKC,PF,NYK,39.556,15.004,27.28
"Kyle O'Quinn",10,NYK,C,OKC,31.4664,5.9936,18.73
"Jarrett Jack",11,NYK,PG,OKC,34.9676,5.6924,20.33
"Michael Beasley",10,NYK,PF,OKC,52.2896,7.1304,29.71
"Lance Thomas",10,NYK,PF,OKC,24.8862,3.2338,14.06
"Doug McDermott",10,NYK,SF,OKC,26.9868,4.3932,15.69
"Courtney Lee",23,NYK,SG,OKC,38.2053,13.7747,25.99
"Frank Ntilikina",10,NYK,PG,OKC,23.6016,9.1784,16.39
"Enes Kanter",24,NYK,C,OKC,48.9168,13.0032,30.96
"Damian Lillard",44,POR,PG,CHA,59.9352,28.2048,44.07
